Region	SITE	Understory	Transient	Canopy	Large Canopy	Unclassified
Afrotropical	Korup	0.03141544	0	0.519452	1.27252	0.01528244
Indo-Malaysian	Bukit Timah Primary 	0.02281647	0	0.5095105	0.4766463	2.674691
	Bukit Timah Secondary	0	0	0	0.2224157	0.2704647
	Fushan	0.003413301	0.000568046	0.0960903	0.6249282	0.01528244
	HKK	0.0088914	0.01434128	0.1452918	1.371929	0.01528244
	Lambir	0.09197345	0.1095704	2.524561	1.407154	1.500306
	Palanan	0.06316016	0	1.382097	0.7364117	0.3377481
	Pasoh	0.05639702	0.000230858	1.372292	1.255511	0.3758281
	Sinharaja	0.04107325	0.000557042	1.072349	3.982048	0.1614257
Neo-Tropics	BCI	0.01280111	0.005596068	0.8013833	1.145269	0.3498215
	Luquillo	0.04570234	0.02599181	0.4360649	1.169599	0.6666619
	Yasuni	0.04927728	0.01587571	0.5034355	0.4297488	1.036011
Oceania	Laupahoehoe	0.002555745	0	0.08664706	0.2430332	0.0206056
	Palamanui	0.02975115	0	0.05182639	0	0.06267421
