"lma"	"mode"
"1"	41.56364726	"Transient"
"2"	37.58647386	"Large Canopy"
"3"	60.38129099	"Understory"
"4"	39.55945156	"Large Canopy"
"5"	45.17869184	"Canopy"
"6"	53.04562823	"Understory"
"7"	24.35004121	"Large Canopy"
"8"	92.7174646	"Large Canopy"
"9"	48.12317375	"Large Canopy"
"10"	85.63722185	"Canopy"
"11"	72.30838391	"Understory"
"12"	50.79793212	"Canopy"
"13"	27.47808496	"Large Canopy"
"14"	70.40908069	"Canopy"
"15"	75.41020454	"Canopy"
"16"	NA	"Large Canopy"
"17"	66.90982652	"Understory"
"18"	30.45628231	"Canopy"
"19"	41.80714767	"Large Canopy"
"20"	60.4630254	"Canopy"
"21"	45.34726905	"Transient"
"22"	54.78759272	"Canopy"
"23"	57.226343	"Canopy"
"24"	80.14642135	"Large Canopy"
"25"	90.38547988	"Transient"
"26"	63.76713868	"Transient"
"27"	53.94470668	"Canopy"
"28"	54.408294	"Canopy"
"29"	63.74261836	"Canopy"
"30"	102.2327115	"Canopy"
"31"	105.1247471	"Canopy"
"32"	38.03101821	"Large Canopy"
"33"	56.23735671	"Large Canopy"
"34"	76.08451337	"Canopy"
"35"	49.86139207	"Large Canopy"
"36"	38.49179591	"Canopy"
"37"	44.69169102	"Large Canopy"
"38"	47.30151595	"Canopy"
"39"	101.1322769	"Canopy"
"40"	36.97460103	"Understory"
"41"	50.92436503	"Large Canopy"
"42"	43.15576534	"Canopy"
"43"	51.92178018	"Canopy"
"44"	52.23083839	"Canopy"
"45"	60.94467457	"Canopy"
"46"	47.66721254	"Canopy"
"47"	51.31771185	"Canopy"
"48"	56.74308833	"Understory"
"49"	48.14565071	"Large Canopy"
"50"	51.07086665	"Canopy"
"51"	65.04015203	"Understory"
"52"	60.93504158	"Canopy"
"53"	70.09065708	"Canopy"
"54"	42.20049449	"Canopy"
"55"	58.4775605	"Large Canopy"
"56"	67.71695376	"Understory"
"57"	57.20386604	"Canopy"
"58"	46.24634749	"Transient"
"59"	56.4733648	"Canopy"
"60"	76.17442122	"Transient"
"61"	71.05217152	"Large Canopy"
"62"	61.71330636	"Canopy"
"63"	49.35940661	"Canopy"
"64"	68.32996179	"Large Canopy"
"65"	40.81611802	"Canopy"
"66"	103.4502135	"Understory"
"67"	42.4065333	"Transient"
"68"	65.18318723	"Understory"
"69"	53.67498314	"Transient"
"70"	58.66486851	"Canopy"
"71"	33.37828726	"Canopy"
"72"	36.11298419	"Large Canopy"
"73"	55.83277141	"Large Canopy"
"74"	50.66681651	"Large Canopy"
"75"	77.84520866	"Large Canopy"
"76"	45.92324118	"Canopy"
"77"	64.70555181	"Canopy"
"78"	59.90110137	"Canopy"
"79"	27.32556273	"Canopy"
"80"	47.83846557	"Large Canopy"
"81"	46.38281476	"Large Canopy"
"82"	49.31819885	"Understory"
"83"	42.70622612	"Canopy"
"84"	51.37109463	"Understory"
"85"	54.05709148	"Large Canopy"
"86"	47.37019555	"Canopy"
"87"	48.4378512	"Large Canopy"
"88"	97.63991908	"Understory"
"89"	57.89422984	"Canopy"
"90"	37.25556305	"Large Canopy"
"91"	44.92582603	"Canopy"
"92"	81.16992583	"Understory"
"93"	74.75462651	"Canopy"
"94"	50.86817262	"Canopy"
"95"	57.83322095	"Canopy"
"96"	40.75822282	"Large Canopy"
"97"	45.09440324	"Canopy"
"98"	50.3202967	"Canopy"
"99"	60.06165109	"Canopy"
"100"	49.5392223	"Large Canopy"
"101"	66.99383132	"Canopy"
"102"	52.25893459	"Large Canopy"
"103"	38.3606803	"Canopy"
"104"	68.5547314	"Canopy"
"105"	52.13075785	"Large Canopy"
"106"	42.0182191	"Large Canopy"
"107"	45.83064519	"Canopy"
"108"	65.38773108	"Canopy"
"109"	54.11987552	"Large Canopy"
"110"	55.75755443	"Transient"
"111"	72.67743678	"Large Canopy"
"112"	68.14281029	"Large Canopy"
"113"	103.097689	"Canopy"
"114"	56.72517464	"Transient"
"115"	36.1353268	"Large Canopy"
"116"	85.39366478	"Understory"
"117"	40.27690371	"Large Canopy"
"118"	50.39995969	"Large Canopy"
"119"	69.3553421	"Transient"
"120"	99.18175056	"Large Canopy"
"121"	136.6680333	"Large Canopy"
"122"	61.11839014	"Transient"
"123"	76.56607066	"Transient"
"124"	15.4704167	"Canopy"
"125"	77.89314618	"Canopy"
"126"	36.58826614	"Transient"
"127"	26.85366696	"Transient"
"128"	24.82420327	"Transient"
"129"	50.79958548	"Large Canopy"
"130"	83.53637315	"Canopy"
"131"	59.64096141	"Large Canopy"
"132"	71.17691021	"Canopy"
"133"	41.97236539	"Understory"
"134"	107.161543486756	"Large Canopy"
"135"	146.585018434187	"Canopy"
"136"	72.6523337207909	"Canopy"
"137"	72.7209673169706	"Understory"
"138"	84.8015544450568	"Canopy"
"139"	74.4387325520673	"Understory"
"140"	85.854427122169	"Canopy"
"141"	55.9944350535462	"Canopy"
"142"	73.1122002731444	"Understory"
"143"	90.4687256690017	"Understory"
"144"	106.585525942363	"Understory"
"145"	99.4174858096675	"Understory"
"146"	66.6525272217169	"Canopy"
"147"	68.9508592872935	"Canopy"
"148"	71.5403177626182	"Canopy"
"149"	67.4524032537836	"Canopy"
"150"	NA	"Understory"
