"seedmass"	"mode"
"3"	0.012025	"Understory"
"4"	4.9e-05	"Large Canopy"
"5"	0.469266667	"Canopy"
"6"	0.027533333	"Understory"
"7"	0.004113	"Large Canopy"
"8"	0.45395	"Large Canopy"
"9"	0.701005	"Large Canopy"
"10"	1.95011	"Canopy"
"11"	0.080482083	"Understory"
"12"	0.002075	"Canopy"
"13"	0.00115	"Large Canopy"
"15"	0.003656667	"Canopy"
"18"	0.005610741	"Canopy"
"19"	0.01621625	"Large Canopy"
"20"	0.042325	"Canopy"
"21"	0.018453	"Transient"
"22"	0.120431333	"Canopy"
"23"	0.108016746	"Canopy"
"24"	0.067596	"Large Canopy"
"26"	0.08892	"Transient"
"27"	0.34089	"Canopy"
"29"	0.193216	"Canopy"
"30"	0.541	"Canopy"
"32"	0.061173333	"Large Canopy"
"35"	0.04003	"Large Canopy"
"37"	5.661719114	"Large Canopy"
"38"	0.01123	"Canopy"
"39"	0.179125	"Canopy"
"40"	0.184663	"Understory"
"41"	0.188107333	"Large Canopy"
"42"	0.019299167	"Canopy"
"43"	0.499075	"Canopy"
"45"	0.17258	"Canopy"
"47"	0.406354	"Canopy"
"49"	0.002070313	"Large Canopy"
"50"	0.011052	"Canopy"
"51"	0.004359375	"Understory"
"52"	0.0847	"Canopy"
"53"	4.50296	"Canopy"
"54"	0.045275	"Canopy"
"55"	0.001115	"Large Canopy"
"56"	0.21642	"Understory"
"60"	0.042875	"Transient"
"62"	0.04176	"Canopy"
"63"	0.03448	"Canopy"
"65"	0.02537	"Canopy"
"66"	0.097	"Understory"
"67"	0.007086667	"Transient"
"68"	0.00447875	"Understory"
"69"	0.091271875	"Transient"
"70"	0.025705	"Canopy"
"71"	0.1452	"Canopy"
"72"	0.334896	"Large Canopy"
"73"	0.0089125	"Large Canopy"
"75"	22.869184	"Large Canopy"
"77"	0.079495	"Canopy"
"78"	0.098637333	"Canopy"
"79"	0.17262	"Canopy"
"80"	0.0799725	"Large Canopy"
"81"	0.085212	"Large Canopy"
"83"	0.11114	"Canopy"
"86"	0.077688	"Canopy"
"87"	0.01695	"Large Canopy"
"88"	0.0359	"Understory"
"89"	1.02895	"Canopy"
"90"	0.018505	"Large Canopy"
"91"	0.105295	"Canopy"
"92"	0.353484	"Understory"
"93"	0.29475	"Canopy"
"94"	0.054078333	"Canopy"
"95"	0.1095065	"Canopy"
"98"	0.72482	"Canopy"
"99"	0.1116605	"Canopy"
"100"	1.580256	"Large Canopy"
"101"	0.116775	"Canopy"
"103"	0.0013	"Canopy"
"105"	0.0218636	"Large Canopy"
"106"	0.2892	"Large Canopy"
"107"	0.000625	"Canopy"
"108"	0.00561	"Canopy"
"109"	7e-04	"Large Canopy"
"110"	0.319	"Transient"
"111"	1.255	"Large Canopy"
"112"	0.3648148	"Large Canopy"
"113"	35.24	"Canopy"
"114"	0.05189	"Transient"
"115"	0.2508	"Large Canopy"
"116"	0.09	"Understory"
"117"	0.011	"Large Canopy"
"118"	0.5233333	"Large Canopy"
"119"	0.026976	"Transient"
"120"	0.594	"Large Canopy"
"121"	0.1609677	"Large Canopy"
"122"	0.00032	"Transient"
"123"	0.052	"Transient"
"124"	0.06595	"Canopy"
"125"	0.1772727	"Canopy"
"126"	0.01	"Transient"
"127"	0.007	"Transient"
"128"	0.005	"Transient"
"129"	0.0014	"Large Canopy"
"130"	0.6415	"Canopy"
"131"	0.0106	"Large Canopy"
"132"	1.14	"Canopy"
"133"	0.05	"Understory"
"134"	0.029	"Understory"
"135"	6.289	"Large Canopy"
"136"	28.661	"Canopy"
"137"	177.47	"Canopy"
"138"	4.127	"Understory"
"139"	8.32	"Canopy"
"140"	0.056	"Large Canopy"
"141"	46.382	"Understory"
"142"	23.837	"Understory"
"144"	0.08	"Understory"
